name,cluster
Yemen Al Mashtal Al Burhani,2
Costa Rica Volcan Azul San Isidro Red Honey,2
Colombia Cauca Finca El Paraiso Rose Tea,2
Symphony Costa Rica Canet Caturra Raisin Honey,2
Guatemala Washed El Injerto EI05 Mocca,2
Taiwan Natural Alishan Zhuo-Wu Geisha,2
Ethiopia Natural Guji Uraga Tome 74110 Lot K06,2
Ethiopia Banko Gotiti Daniel Mijane,2
Colombia Finca El Paraiso Castillo Red Plum,2
Colombia Tres Dragones,2
Ninety Plus Panama Gesha Estate MS Joseph Brodsky 2307,2
Ruby Sweet Lychee,2
Ethiopia Sidama Durato Bombe,2
Holiday Reserve Roast — Costa Rica Termico,2
Nicaragua Jinotega Fincas Mierisch La Escondida Red Pacamara,2
Guatemala Valentón,2
Ethiopia Guji Uraga Tobutu Tuta G1 Experimental LOT 181NA2021,2
Honduras Roberto Figueroa,2
Colombia Finca El Paraiso Geisha Letty,2
SÖT Coffee Roaster Colombia Wush Wush Dynamic Natural,2
Costa Rica Las Lajas Perla Negra,2
Yemen Mokha Matari,2
Kenya Gachatha Nyeri AA,2
Tropical Summer Colombia La Sierra,2
Yemen Port of Mokha Al-Jabal,2
Costa Rica Cattleya Anaerobic,2
Colombia Planadas Ibague,2
Ethiopia Anaerobic Shantawene,2
Ethiopia Natural Guji Dasaya SP,2
Costa Rica San Gabriel SL28 Anaerobic Natural,2
Hawaii Ka‘ū Bourbon Anaerobic Natural,2
Peru Pangoa,2
Garden of Eden,2
Ethiopia Honey Process Tamiru Tadesse,2
Ethiopia Shantawane Buncho Honey,2
Indonesia Sumatra Kerinci Valley,2
Aged Sumatra Semiga,2
Yemen Haraaz Red Mahal Aqeeq ul Station Natural,2
Ethiopia Raro Boda,2
Colombia Geisha Cordillera,2
Guatemala Antigua Pastores,2
Honduras COMSA Oscar Omar Alonzo,2
Peru Garden of Eden Farcent Geisha Anaerobic Washed,2
Ethiopia Yirgacheffe,2
Ethiopia Sidama,2
Ethiopia Halo Beriti,2
Costa Rica La Chumeca,2
Yemen Mocha Haimi,2
Red Sunset by Andres Cardona,2
Colombia Laboyano,2
Ethiopia Natural Guji Hambela SASA Lot 10,2
El Salvador Monte Verde,2
Bait Alal Community,2
Kenya Rugeto Peaberry,3
Kenya Gathaithi AA,3
Gatomboya Kenya,3
Panama Pacamara Natural,3
Costa Rica Cloza Estate,3
Ethiopia Gedeo Kochere Reko Natural,3
Burundi Natural Anaerobic Kibingo,3
Kona Double-Washed Black Rock Farm,3
Ethiopia Guji Washed G1 Uncle Select Lot 21/01,3
Kenya Kabingara,3
Nyakibanda Rwanda,3
Butare Huye of Rwanda,3
El Salvador Finca Las Duanas,3
Papua New Guinea Baroida Washed,3
Ethiopia Natural Guji Lot D Minor,3
El Salvador La Guachocha,3
Ethiopia Sidama Keramo Village,3
Costa Rica Los Cedros,3
Ethiopia Neja Fadil,3
Elida Estate Geisha Natural Dragonfly Reserve,3
Congo Muungano,3
Peru Buena Vista Valerio Almanza Ccahua,3
Kenya Kiambu “Summer Love”,3
Burundi Kabarore Commune,3
Ethiopia Sidamo Yirgalem,3
Ethiopia Natural Guji Morel Floral Kudume,3
Kenya Kibirigwi Thunguri,3
Ethiopia Yirgacheffe Worka Sakaro,3
Costa Rica Central Valley Brandy Ball,3
Peru Jheyner Roman,3
Ethiopia Idido Wegida,3
El Salvador Finca Himalaya Pacamara,3
Ethiopia Nansebo Worka,3
40-Hour Ethiopia Girma Eshetu,3
Y-3 Geisha Hacienda Esmeralda,3
Ethiopia Dimtu,3
Port of Mokha Yemen JSP,3
Gachami Kenya,3
Nano Challa,3
La Esperanza Borbón,3
Hacienda Esmeralda Ethiopian Accessions,3
Kebele Village Ethiopia,3
Papua New Guinea Baroida Natural,3
Panama Finca San Sebastian,3
Rwandan,3
Panama Elida ASD Natural,3
Ka’u Typica Natural,3
Mexico Nyarita Canela,3
Rwanda Nyarusiza Station,3
Guo Mei Zhu,3
Ethiopia Guji Uraga Wolisho Natural,3
Taiwan BA LU NA,3
Peru Washed Santa Monica Gesha,3
Ethiopia Kayon Mountain,3
Costa Rica Coto Brus-La Amistad,3
Colombia Huila Geisha Las Mieles,3
Ethiopia Yirgacheffe Natural Haru Suke G1,3
Ethiopia Hambela 1 Organic Natural Alaka,3
Halo Hartume,3
Ethiopia Guji Queen Honey,3
El Salvador Anarquia Pacamara,3
Kauai Estate Reserve Sun-Dried Typica,3
Ka’u IPA Natural,3
Monarch Estate Pacamara,3
La Esperanza Villa Sarchi,3
Yirgacheffe Gedeb G1 Natural,3
Santa Luzia Brazil,3
Honduras Blue Hole Estate,3
Ethiopia Cup of Excellence Guji Natural,3
Colombia Huila,3
Ethiopia Sidamo Bensa Asefa Dukamo Washed,3
Costa Rica Tarrazu Dota El Diosa Geisha,3
Ethiopia Washed Kochere,3
Rwanda Mushonyi,3
Colombia Diofanor Ruiz,3
Gesha Spirits,3
Oahu Triple-Bourbon “Sparkling” Yeast Ferment,3
Hernan Zuniga Ecuador,3
Karimiuki Kenya,3
Ethiopia Yabitu Koba,3
Ethiopia Sidama Telamo FTO Natural,3
Guatemala Quejina,3
Ethiopia Guji Natural,3
Finca Tasta Peru,3
Geisha Pasco Oxapampa Peru,3
Ethiopia Yirgacheffe Hama Washed,3
Colombia La Esperanza Natural XO,3
Peru Chirinois,3
Guatemala Sierra Roja Geisha,3
Kenya Thunguri AA,3
Colombia Laderas del Tapias Estate Natural Geisha,3
Kenya AB,3
Guatemala Maragogype La Providencia,3
Gesha Village Lot #85 Natural,3
Nano Challa Ethiopia,3
Ceri Ceri Meriah Coffee,3
Costa Rica Microlot Series San Cristobal Natural,3
Tanzania Sambewe,3
Ethiopia Guji Hambela Kudume Yellow Honey,3
Honduras David Mancia,3
Organic Ethiopia Shantawene Natural,3
Ethiopia Worka Natural,3
